candidate	layers	donor	gib	d_gib	prose_ppl	d_prose	code_ppl	d_code	tokens	wall_s	utc	kl_mnats	d_kl	top1	captured_mass	interpreter	contended
BASE		d2k256	44.532	0.0	6.021582	0.0			2048	34.3	2026-09-04T05:05:33Z	419.8798	0.0	0.7783	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L00	0	d2k256	45.156	0.6243	6.009033	0.012549			2048	26.1	2026-09-04T05:05:59Z	406.3949	13.4849	0.7769	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L01	1	d2k256	45.156	0.6243	5.99832	0.023262			2048	34.9	2026-09-04T05:06:34Z	409.4462	10.4336	0.7773	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L02	2	d2k256	45.156	0.6243	6.057003	-0.035421			2048	50.7	2026-09-04T05:07:24Z	405.5924	14.2874	0.7788	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L03	3	d2k256	45.156	0.6243	6.083916	-0.062334			2048	52.5	2026-09-04T05:08:17Z	415.5387	4.3411	0.7832	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L04	4	d2k256	45.156	0.6243	6.071582	-0.05			2048	48.7	2026-09-04T05:09:06Z	408.0488	11.831	0.7803	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L05	5	d2k256	45.156	0.6243	6.042087	-0.020505			2048	55.1	2026-09-04T05:10:01Z	414.4554	5.4244	0.7871	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L06	6	d2k256	45.156	0.6243	5.939676	0.081906			2048	53.6	2026-09-04T05:10:55Z	417.9218	1.958	0.7808	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L07	7	d2k256	45.156	0.6243	6.005576	0.016006			2048	75.8	2026-09-04T05:12:10Z	413.6288	6.251	0.7798	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L08	8	d2k256	45.156	0.6243	6.009675	0.011907			2048	60.7	2026-09-04T05:13:11Z	416.1064	3.7734	0.7778	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L09	9	d2k256	45.156	0.6243	5.975879	0.045703			2048	58.6	2026-09-04T05:14:10Z	414.7983	5.0815	0.7764	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L10	10	d2k256	45.156	0.6243	6.070691	-0.049109			2048	58.5	2026-09-04T05:15:08Z	421.3356	-1.4558	0.7847	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L11	11	d2k256	45.156	0.6243	6.021564	1.8e-05			2048	49.2	2026-09-04T05:15:58Z	420.8432	-0.9634	0.7744	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L12	12	d2k256	45.156	0.6243	5.999149	0.022433			2048	61.7	2026-09-04T05:16:59Z	418.3436	1.5362	0.7715	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L13	13	d2k256	45.156	0.6243	6.023837	-0.002255			2048	53.8	2026-09-04T05:17:53Z	418.7111	1.1687	0.7788	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
L14	14	d2k256	45.156	0.6243	5.998651	0.022931			2048	57.7	2026-09-04T05:18:51Z	414.9894	4.8904	0.7739	0.9626	/Users/noahzelezny/.venvs/qwen4exp/bin/python	1
