candidate	layer	subset	code
L43_up	43	up_proj	2.6716
L43_down	43	down_proj	2.6713
L43_gate+up	43	gate_proj,up_proj	2.6711
L43_gate+down	43	gate_proj,down_proj	2.6706
L43_up+down	43	up_proj,down_proj	2.67
L45_gate	45	gate_proj	2.6744
L45_gate+up	45	gate_proj,up_proj	2.6761
L45_gate+down	45	gate_proj,down_proj	2.6739
L47_gate	47	gate_proj	2.6722
L47_up	47	up_proj	2.6727
L47_down	47	down_proj	2.6724
L47_gate+up	47	gate_proj,up_proj	2.6722
L47_gate+down	47	gate_proj,down_proj	2.6718
L47_up+down	47	up_proj,down_proj	2.672
L29_down	29	down_proj	2.6735
L29_gate+down	29	gate_proj,down_proj	2.6748
L29_up+down	29	up_proj,down_proj	2.6724
L44_gate	44	gate_proj	2.6725
L44_down	44	down_proj	2.6721
L44_gate+down	44	gate_proj,down_proj	2.6713
L44_up+down	44	up_proj,down_proj	2.6723
L48_gate	48	gate_proj	2.6725
L48_gate+up	48	gate_proj,up_proj	2.672
L48_gate+down	48	gate_proj,down_proj	2.673
L49_up	49	up_proj	2.6733
L49_down	49	down_proj	2.67
L49_gate+up	49	gate_proj,up_proj	2.6692
L49_up+down	49	up_proj,down_proj	2.6697
L41_down	41	down_proj	2.673
L41_up+down	41	up_proj,down_proj	2.6717
L37_gate	37	gate_proj	2.6719
L37_down	37	down_proj	2.6728
L37_gate+down	37	gate_proj,down_proj	2.6692
L42_gate	42	gate_proj	2.6725
L42_gate+up	42	gate_proj,up_proj	2.6741
L53_down	53	down_proj	2.6725
L53_gate+down	53	gate_proj,down_proj	2.6732
L30_gate	30	gate_proj	2.6714
L30_down	30	down_proj	2.6756
L32_gate+down	32	gate_proj,down_proj	2.6708
L40_down	40	down_proj	2.6721
L38_up	38	up_proj	2.6736
L38_down	38	down_proj	2.6714
L38_gate+up	38	gate_proj,up_proj	2.6754
L43_ALL3	43	ALL3	2.6689
L45_ALL3	45	ALL3	2.677
L47_ALL3	47	ALL3	2.6735
L29_ALL3	29	ALL3	2.6698
L44_ALL3	44	ALL3	2.6716
L48_ALL3	48	ALL3	2.6695
L49_ALL3	49	ALL3	2.6692
L41_ALL3	41	ALL3	2.67
L37_ALL3	37	ALL3	2.6688
L42_ALL3	42	ALL3	2.6712
L53_ALL3	53	ALL3	2.675
L36_ALL3	36	ALL3	2.6714
L30_ALL3	30	ALL3	2.6717
L32_ALL3	32	ALL3	2.6701
L40_ALL3	40	ALL3	2.6709
L38_ALL3	38	ALL3	2.6715
