candidate	layer	subset	gib	prose	lit_w2
L43_gate	43	gate_proj	101.0335	3.0574	1.9308
L43_up	43	up_proj	101.0335	3.0474	1.9208
L43_down	43	down_proj	101.0335	3.0341	1.9299
L43_gate+up	43	gate_proj,up_proj	101.0957	3.0484	1.9114
L43_gate+down	43	gate_proj,down_proj	101.0957	3.0401	1.9216
L43_up+down	43	up_proj,down_proj	101.0957	3.0242	1.9202
L45_gate	45	gate_proj	101.0335	3.0487	1.9316
L45_up	45	up_proj	101.0335	3.0536	1.9296
L45_down	45	down_proj	101.0335	3.0606	1.9399
L45_gate+up	45	gate_proj,up_proj	101.0957	3.0406	1.9274
L45_gate+down	45	gate_proj,down_proj	101.0957	3.0424	1.9335
L45_up+down	45	up_proj,down_proj	101.0957	3.0564	1.9257
L47_gate	47	gate_proj	101.0335	3.0525	1.9359
L47_up	47	up_proj	101.0335	3.0483	1.9374
L47_down	47	down_proj	101.0335	3.051	1.9346
L47_gate+up	47	gate_proj,up_proj	101.0957	3.0422	1.9326
L47_gate+down	47	gate_proj,down_proj	101.0957	3.0464	1.9328
L47_up+down	47	up_proj,down_proj	101.0957	3.037	1.9316
L29_gate	29	gate_proj	101.0335	3.0576	1.9421
L29_up	29	up_proj	101.0335	3.0544	1.9463
L29_down	29	down_proj	101.0335	3.048	1.9338
L29_gate+up	29	gate_proj,up_proj	101.0957	3.0497	1.9444
L29_gate+down	29	gate_proj,down_proj	101.0957	3.0461	1.9367
L29_up+down	29	up_proj,down_proj	101.0957	3.042	1.9363
L44_gate	44	gate_proj	101.0335	3.0482	1.9269
L44_up	44	up_proj	101.0335	3.0587	1.9189
L44_down	44	down_proj	101.0335	3.0466	1.9244
L44_gate+up	44	gate_proj,up_proj	101.0957	3.0522	1.912
L44_gate+down	44	gate_proj,down_proj	101.0957	3.0421	1.9121
L44_up+down	44	up_proj,down_proj	101.0957	3.0484	1.9069
L48_gate	48	gate_proj	101.0335	3.0503	1.9335
L48_up	48	up_proj	101.0335	3.0545	1.9402
