candidate	layers	donor	gib	d_gib	prose_ppl	d_prose	code_ppl	d_code	tokens	wall_s	utc
BASE		d4k256	100.971	0.0	3.0568	0.0			8192	69.1	2026-09-05T19:43:21Z
L0	0	d4k256	101.158	0.1871	3.0567	0.0001			8192	60.9	2026-09-05T19:44:22Z
L1	1	d4k256	101.158	0.1871	3.0602	-0.0034			8192	68.3	2026-09-05T21:09:18Z
L2	2	d4k256	101.158	0.1871	3.0601	-0.0033			8192	61.1	2026-09-05T21:10:19Z
L3	3	d4k256	101.158	0.1871	3.0642	-0.0074			8192	60.8	2026-09-05T21:11:20Z
L4	4	d4k256	101.158	0.1871	3.0588	-0.002			8192	65.6	2026-09-05T21:12:25Z
L5	5	d4k256	101.158	0.1871	3.0604	-0.0036			8192	66.9	2026-09-05T21:13:32Z
L6	6	d4k256	101.158	0.1871	3.0616	-0.0048			8192	68.0	2026-09-05T21:14:40Z
L7	7	d4k256	101.158	0.1871	3.0573	-0.0005			8192	66.0	2026-09-05T21:15:47Z
L8	8	d4k256	101.158	0.1871	3.0639	-0.0071			8192	66.3	2026-09-05T21:16:53Z
L9	9	d4k256	101.158	0.1871	3.0643	-0.0075			8192	66.4	2026-09-05T21:17:59Z
L10	10	d4k256	101.158	0.1871	3.0601	-0.0033			8192	67.0	2026-09-05T21:19:06Z
L11	11	d4k256	101.158	0.1871	3.0594	-0.0026			8192	69.0	2026-09-05T21:20:15Z
L12	12	d4k256	101.158	0.1871	3.0538	0.003			8192	68.0	2026-09-05T21:21:23Z
L13	13	d4k256	101.158	0.1871	3.0583	-0.0015			8192	68.8	2026-09-05T21:22:32Z
L14	14	d4k256	101.158	0.1871	3.0517	0.0051			8192	67.7	2026-09-05T21:23:40Z
L15	15	d4k256	101.158	0.1871	3.0576	-0.0008			8192	67.5	2026-09-05T21:24:48Z
L16	16	d4k256	101.158	0.1871	3.0627	-0.0059			8192	67.9	2026-09-05T21:25:56Z
L17	17	d4k256	101.158	0.1871	3.0568	0.0			8192	68.2	2026-09-05T21:27:04Z
L18	18	d4k256	101.158	0.1871	3.0591	-0.0023			8192	70.0	2026-09-05T21:28:14Z
L19	19	d4k256	101.158	0.1871	3.0532	0.0036			8192	68.5	2026-09-05T21:29:23Z
L20	20	d4k256	101.158	0.1871	3.0578	-0.001			8192	69.2	2026-09-05T21:30:32Z
L21	21	d4k256	101.158	0.1871	3.0552	0.0016			8192	68.3	2026-09-05T21:31:40Z
L22	22	d4k256	101.158	0.1871	3.0569	-0.0001			8192	68.5	2026-09-05T21:32:49Z
L23	23	d4k256	101.158	0.1871	3.0526	0.0042			8192	68.1	2026-09-05T21:33:57Z
