candidate	layers	donor	gib	d_gib	prose_ppl	d_prose	code_ppl	d_code	tokens	wall_s	utc
BASE		k512	111.617	0.0	2.7624	0.0			8192	164.7	2026-09-04T05:05:41Z
L0	0	k512	111.805	0.1875	2.7669	-0.0045			8192	190.3	2026-09-04T05:08:51Z
L1	1	k512	111.805	0.1875	2.7655	-0.0031			8192	195.0	2026-09-04T05:12:06Z
L2	2	k512	111.805	0.1875	2.761	0.0014			8192	202.6	2026-09-04T05:15:29Z
L3	3	k512	111.805	0.1875	2.7679	-0.0055			8192	199.6	2026-09-04T05:18:49Z
L4	4	k512	111.805	0.1875	2.7622	0.0002			8192	219.5	2026-09-04T05:22:28Z
L5	5	k512	111.805	0.1875	2.7599	0.0025			8192	199.6	2026-09-04T05:25:48Z
L6	6	k512	111.805	0.1875	2.7638	-0.0014			8192	217.2	2026-09-04T05:29:25Z
L7	7	k512	111.805	0.1875	2.7667	-0.0043			8192	200.2	2026-09-04T05:32:45Z
L8	8	k512	111.805	0.1875	2.76	0.0024			8192	185.5	2026-09-04T05:35:51Z
L9	9	k512	111.805	0.1875	2.7686	-0.0062			8192	196.4	2026-09-04T05:39:07Z
L10	10	k512	111.805	0.1875	2.7634	-0.001			8192	195.6	2026-09-04T05:42:23Z
L11	11	k512	111.805	0.1875	2.7667	-0.0043			8192	215.7	2026-09-04T05:45:58Z
L12	12	k512	111.805	0.1875	2.7696	-0.0072			8192	200.1	2026-09-04T05:49:18Z
L13	13	k512	111.805	0.1875	2.7667	-0.0043			8192	206.1	2026-09-04T05:52:44Z
L14	14	k512	111.805	0.1875	2.7677	-0.0053			8192	156.2	2026-09-04T05:55:21Z
L15	15	k512	111.805	0.1875	2.7587	0.0037			8192	117.7	2026-09-04T05:57:18Z
L16	16	k512	111.805	0.1875	2.7664	-0.004			8192	117.1	2026-09-04T05:59:16Z
L17	17	k512	111.805	0.1875	2.7618	0.0006			8192	114.7	2026-09-04T06:01:10Z
L18	18	k512	111.805	0.1875	2.7666	-0.0042			8192	93.0	2026-09-04T06:02:43Z
L19	19	k512	111.805	0.1875	2.7753	-0.0129			8192	106.9	2026-09-04T06:04:30Z
L20	20	k512	111.805	0.1875	2.7664	-0.004			8192	123.0	2026-09-04T06:06:33Z
L21	21	k512	111.805	0.1875	2.7628	-0.0004			8192	117.0	2026-09-04T06:08:30Z
L22	22	k512	111.805	0.1875	2.7692	-0.0068			8192	115.3	2026-09-04T06:10:26Z
L23	23	k512	111.805	0.1875	2.7673	-0.0049			8192	103.9	2026-09-04T06:12:09Z
L24	24	k512	111.805	0.1875	2.7654	-0.003			8192	140.5	2026-09-04T06:18:03Z
L25	25	k512	111.805	0.1875	2.7582	0.0042			8192	127.0	2026-09-04T06:20:10Z
L26	26	k512	111.805	0.1875	2.7728	-0.0104			8192	118.1	2026-09-04T06:22:08Z
L27	27	k512	111.805	0.1875	2.7577	0.0047			8192	113.1	2026-09-04T06:24:01Z
L28	28	k512	111.805	0.1875	2.7643	-0.0019			8192	114.0	2026-09-04T06:25:55Z
L29	29	k512	111.805	0.1875	2.7614	0.001			8192	116.9	2026-09-04T06:27:52Z
L30	30	k512	111.805	0.1875	2.762	0.0004			8192	114.8	2026-09-04T06:29:47Z
L31	31	k512	111.805	0.1875	2.7692	-0.0068			8192	83.8	2026-09-04T06:31:11Z
L32	32	k512	111.805	0.1875	2.7625	-0.0001			8192	116.6	2026-09-04T06:33:08Z
L33	33	k512	111.805	0.1875	2.7688	-0.0064			8192	115.7	2026-09-04T06:35:03Z
L34	34	k512	111.805	0.1875	2.768	-0.0056			8192	120.0	2026-09-04T06:37:03Z
L35	35	k512	111.805	0.1875	2.7615	0.0009			8192	117.0	2026-09-04T06:39:01Z
L36	36	k512	111.805	0.1875	2.7639	-0.0015			8192	97.3	2026-09-04T06:40:38Z
L37	37	k512	111.805	0.1875	2.7574	0.005			8192	116.4	2026-09-04T06:42:34Z
L38	38	k512	111.805	0.1875	2.7625	-0.0001			8192	117.0	2026-09-04T06:44:31Z
L39	39	k512	111.805	0.1875	2.7636	-0.0012			8192	108.9	2026-09-04T06:46:20Z
L40	40	k512	111.805	0.1875	2.7527	0.0097			8192	116.4	2026-09-04T06:48:17Z
L41	41	k512	111.805	0.1875	2.7576	0.0048			8192	123.7	2026-09-04T06:50:20Z
L42	42	k512	111.805	0.1875	2.7555	0.0069			8192	115.7	2026-09-04T06:52:16Z
L43	43	k512	111.805	0.1875	2.7658	-0.0034			8192	114.9	2026-09-04T06:54:11Z
L44	44	k512	111.805	0.1875	2.756	0.0064			8192	115.4	2026-09-04T06:56:07Z
L45	45	k512	111.805	0.1875	2.7504	0.012			8192	111.0	2026-09-04T06:57:58Z
L46	46	k512	111.805	0.1875	2.7595	0.0029			8192	121.9	2026-09-04T07:00:00Z
L47	47	k512	111.805	0.1875	2.74	0.0224			8192	113.6	2026-09-04T07:01:53Z
L48	48	k512	111.805	0.1875	2.7528	0.0096			8192	104.5	2026-09-04T07:03:38Z
L49	49	k512	111.805	0.1875	2.7628	-0.0004			8192	115.3	2026-09-04T07:05:33Z
L50	50	k512	111.805	0.1875	2.7572	0.0052			8192	116.5	2026-09-04T07:07:30Z
L51	51	k512	111.805	0.1875	2.7583	0.0041			8192	115.9	2026-09-04T07:09:26Z
L52	52	k512	111.805	0.1875	2.7583	0.0041			8192	116.0	2026-09-04T07:11:22Z
L53	53	k512	111.805	0.1875	2.7677	-0.0053			8192	117.1	2026-09-04T07:13:19Z
L54	54	k512	111.805	0.1875	2.7594	0.003			8192	109.2	2026-09-04T07:15:08Z
L55	55	k512	111.805	0.1875	2.7567	0.0057			8192	111.0	2026-09-04T07:16:59Z
L56	56	k512	111.805	0.1875	2.7588	0.0036			8192	116.9	2026-09-04T07:18:56Z
BEST6	40,42,44,45,47,48	k512	112.742	1.1251	2.6957	0.0667			8192	162.3	2026-09-04T07:25:17Z
